TurkerID,randomint,number of apps requested microphone,number of apps requested location,number of apps requested camera,number of apps requested contacts,number of apps requested phone,number of apps requested storage,number of apps requested calendar,number of apps requested sms,number of apps granted microphone,number of apps granted location,number of apps granted camera,number of apps granted contacts,number of apps granted phone,number of apps granted storage,number of apps granted calendar,number of apps granted sms,fraction of apps granted microphone,fraction of apps granted location,fraction of apps granted camera,fraction of apps granted contacts,fraction of apps granted phone,fraction of apps granted storage,fraction of apps granted calendar,fraction of apps granted sensor,fraction of apps granted sms,danger level of microphone,danger level of location,danger level of camera,danger level of contacts,danger level of phone,danger level of storage,danger level of calendar,danger level of sensor,danger level of sms
A8562J49TRH3C,44456,22,52,36,48,39,71,9,22,8,27,10,16,19,27,4,11,0.363636364,0.519230769,0.277777778,0.333333333,0.487179487,0.38028169,0.444444444,0,0.5,2,2,3,3,4,2,2,1,2
AC6P8A8PDBJPD,15619,13,21,16,21,18,27,6,9,5,8,6,7,6,12,3,4,0.384615385,0.380952381,0.375,0.333333333,0.333333333,0.444444444,0.5,0,0.444444444,4,4,3,5,3,2,2,4,4
A3N30TU7ZTLNB9,85032,11,24,16,25,15,33,7,9,5,7,3,5,5,9,2,3,0.454545455,0.291666667,0.1875,0.2,0.333333333,0.272727273,0.285714286,0,0.333333333,3,2,3,3,3,4,2,3,4
A2Y05OCB1H60K3,16005,29,55,54,58,51,75,12,30,18,40,37,43,35,60,8,22,0.620689655,0.727272727,0.685185185,0.74137931,0.68627451,0.8,0.666666667,0,0.733333333,3,3,4,4,4,4,2,3,4
A1FP8W05KYYQ04,13835,29,47,39,56,43,79,13,27,12,22,15,22,25,39,6,13,0.413793103,0.468085106,0.384615385,0.392857143,0.581395349,0.493670886,0.461538462,0,0.481481481,2,2,1,3,3,4,1,3,3
AIVSV91CBYI12,10389,29,52,42,55,54,79,16,31,9,19,13,19,18,37,8,17,0.310344828,0.365384615,0.30952381,0.345454545,0.333333333,0.46835443,0.5,0,0.548387097,2,2,2,4,3,3,2,3,3
A37Q40126A4RNA,47726,34,68,52,62,65,88,11,33,8,32,8,27,28,43,6,16,0.235294118,0.470588235,0.153846154,0.435483871,0.430769231,0.488636364,0.545454545,0,0.484848485,1,1,3,3,4,4,3,3,3
A2ASTDMWBCFIP0,86824,25,60,43,55,50,82,12,21,6,24,13,15,14,34,3,11,0.24,0.4,0.302325581,0.272727273,0.28,0.414634146,0.25,0,0.523809524,3,3,4,3,4,3,2,2,3
AQAXDL1INQC9Q,73421,13,24,18,28,20,37,8,13,3,7,4,7,6,16,5,7,0.230769231,0.291666667,0.222222222,0.25,0.3,0.432432432,0.625,0,0.538461538,3,4,4,3,3,3,2,3,4
A2585MULTOM1Z5,35245,32,66,53,66,56,96,17,28,11,33,18,27,20,45,7,13,0.34375,0.5,0.339622642,0.409090909,0.357142857,0.46875,0.411764706,0,0.464285714,4,4,5,3,4,2,3,4,4
A1HOSLU4DG2MDS,55661,26,54,40,54,38,65,14,24,7,26,12,14,9,19,4,5,0.269230769,0.481481481,0.3,0.259259259,0.236842105,0.292307692,0.285714286,0,0.208333333,2,2,2,4,2,2,3,3,4
A1160COTUR26JZ,20375,25,79,58,69,57,99,11,24,8,46,29,31,28,57,6,16,0.32,0.582278481,0.5,0.449275362,0.49122807,0.575757576,0.545454545,0,0.666666667,5,5,5,5,5,5,5,5,5
A302M81U0HM7RJ,10680,29,52,46,57,50,104,9,25,10,28,14,18,18,42,3,13,0.344827586,0.538461538,0.304347826,0.315789474,0.36,0.403846154,0.333333333,0,0.52,3,4,4,3,5,5,4,3,5
A1KF05U5IO9AFG,76987,17,26,22,31,26,46,7,14,3,7,4,10,6,21,3,7,0.176470588,0.269230769,0.181818182,0.322580645,0.230769231,0.456521739,0.428571429,0,0.5,2,4,2,4,1,1,1,4,4
AOX8BJNGGNDZH,38587,28,56,36,57,50,83,8,26,11,23,18,20,19,48,5,16,0.392857143,0.410714286,0.5,0.350877193,0.38,0.578313253,0.625,0,0.615384615,4,4,4,4,4,4,4,4,4
A276N5FFOSK2FX,39153,26,42,41,53,41,63,14,22,8,15,13,14,16,24,6,10,0.307692308,0.357142857,0.317073171,0.264150943,0.390243902,0.380952381,0.428571429,0,0.454545455,3,2,2,2,2,2,2,2,2
A17F6MB9SZYV57,41877,35,46,39,54,45,90,13,28,13,18,15,20,21,45,6,15,0.371428571,0.391304348,0.384615385,0.37037037,0.466666667,0.5,0.461538462,0,0.535714286,3,5,4,5,4,3,2,4,4
A184EIWAV7P9EH,40634,21,45,30,50,30,73,13,16,8,9,8,17,11,33,6,8,0.380952381,0.2,0.266666667,0.34,0.366666667,0.452054795,0.461538462,0,0.5,3,4,5,3,5,5,3,5,5
A2UOBJK4K2SB4U,37690,25,42,31,45,40,64,13,24,17,33,23,36,32,52,9,21,0.68,0.785714286,0.741935484,0.8,0.8,0.8125,0.692307692,0,0.875,5,5,5,5,5,5,5,5,5
A6JOC24PSUEEC,88060,19,28,19,33,24,45,6,11,5,5,2,9,6,13,2,3,0.263157895,0.178571429,0.105263158,0.272727273,0.25,0.288888889,0.333333333,0,0.272727273,4,5,2,4,2,4,2,2,4
A2BRZKFG6WAVER,72263,41,68,59,70,69,98,12,30,17,32,28,16,21,48,6,15,0.414634146,0.470588235,0.474576271,0.228571429,0.304347826,0.489795918,0.5,0,0.5,4,4,4,4,4,4,4,4,4
ALZVG5501Y5IX,16483,44,63,58,68,62,107,13,31,26,42,34,48,41,83,8,21,0.590909091,0.666666667,0.586206897,0.705882353,0.661290323,0.775700935,0.615384615,0,0.677419355,4,3,2,4,3,3,2,3,2
A22IIMLQ7K4B3M,57244,34,61,44,68,54,88,15,26,10,31,17,27,24,39,3,13,0.294117647,0.508196721,0.386363636,0.397058824,0.444444444,0.443181818,0.2,0,0.5,1,1,1,1,1,1,1,1,1
AXAY0M3ATGPAR,51170,21,29,25,38,30,41,11,18,5,10,5,9,9,12,3,6,0.238095238,0.344827586,0.2,0.236842105,0.3,0.292682927,0.272727273,0,0.333333333,4,4,1,4,4,4,4,4,5
AVSLRTQLC2XK4,90090,34,52,42,56,52,74,12,25,11,22,11,14,12,28,5,10,0.323529412,0.423076923,0.261904762,0.25,0.230769231,0.378378378,0.416666667,0,0.4,4,5,5,3,4,5,5,3,4
A2I3FCE7LMITQS,79109,15,27,20,32,25,39,11,16,11,22,17,28,19,24,7,12,0.733333333,0.814814815,0.85,0.875,0.76,0.615384615,0.636363636,0,0.75,4,2,3,4,4,4,2,2,3
A3S2R1NK6HZ9KP,68864,22,34,30,47,33,57,10,17,6,17,9,14,10,32,3,7,0.272727273,0.5,0.3,0.29787234,0.303030303,0.561403509,0.3,0,0.411764706,3,5,5,3,4,5,2,4,5
A28H539AZAIDDV,84487,37,84,59,76,64,109,15,38,15,40,24,30,21,53,7,15,0.405405405,0.476190476,0.406779661,0.394736842,0.328125,0.486238532,0.466666667,0,0.394736842,4,5,4,5,3,5,2,3,4
A2SFD01V5SDFTA,55057,28,54,44,51,32,73,11,18,7,17,11,10,13,30,4,6,0.25,0.314814815,0.25,0.196078431,0.40625,0.410958904,0.363636364,0,0.333333333,4,4,3,4,4,4,3,3,4
A3A98RH6TI83T8,47724,20,27,28,38,30,52,10,17,11,16,15,14,15,33,7,9,0.55,0.592592593,0.535714286,0.368421053,0.5,0.634615385,0.7,0,0.529411765,3,4,3,3,5,4,4,3,3
ALH1K6ZAQQMN7,71012,24,31,25,39,36,50,8,21,13,25,17,32,28,42,7,18,0.541666667,0.806451613,0.68,0.820512821,0.777777778,0.84,0.875,0,0.857142857,3,4,5,3,4,4,1,3,4
A1N8TKTLXV92QR,79002,11,23,16,33,20,42,7,16,8,17,11,25,16,31,6,14,0.727272727,0.739130435,0.6875,0.757575758,0.8,0.738095238,0.857142857,0,0.875,4,4,3,5,4,4,3,4,4
A28C4YC9WPNYG2,17957,32,44,37,53,48,64,10,29,21,31,30,43,36,56,8,21,0.65625,0.704545455,0.810810811,0.811320755,0.75,0.875,0.8,0,0.724137931,5,4,4,4,3,2,2,4,5
A3KW8RIWBQ1O7F,43479,15,26,13,32,29,52,8,12,7,14,5,12,19,35,5,9,0.466666667,0.538461538,0.384615385,0.375,0.655172414,0.673076923,0.625,0,0.75,4,4,2,4,4,4,1,1,4
A2CYF2YSAXGB3G,59133,25,37,28,40,38,57,12,23,7,13,9,14,13,27,4,10,0.28,0.351351351,0.321428571,0.35,0.342105263,0.473684211,0.333333333,0,0.434782609,1,1,5,5,5,5,5,5,5
AJXGDCVHN4V6D,24375,15,42,35,40,25,55,8,10,7,24,17,14,9,27,5,7,0.466666667,0.571428571,0.485714286,0.35,0.36,0.490909091,0.625,0,0.7,4,4,4,4,4,3,4,4,5
A23LLMPC8OX3DD,41352,28,38,28,39,43,56,11,25,18,30,19,34,35,51,10,19,0.642857143,0.789473684,0.678571429,0.871794872,0.813953488,0.910714286,0.909090909,0,0.76,3,5,3,3,3,3,3,3,3
A27LCUA35LPVM8,13673,31,61,42,62,49,84,11,29,8,18,8,18,13,24,2,12,0.258064516,0.295081967,0.19047619,0.290322581,0.265306122,0.285714286,0.181818182,0,0.413793103,4,3,3,3,3,4,2,3,3
