TurkerID,number of apps requested microphone,number of apps requested location,number of apps requested camera,number of apps requested contacts,number of apps requested phone,number of apps requested storage,number of apps requested calendar,number of apps requested sensor,number of apps requested sms,number of apps granted microphone,number of apps granted location,number of apps granted camera,number of apps granted contacts,number of apps granted phone,number of apps granted storage,number of apps granted calendar,number of apps granted sensor,number of apps granted sms,fraction of apps granted microphone,fraction of apps granted location,fraction of apps granted camera,fraction of apps granted contacts,fraction of apps granted phone,fraction of apps granted storage,fraction of apps granted calendar,fraction of apps granted sensor,fraction of apps granted sms
A2BRZKFG6WAVER,47,79,68,79,80,111,12,3,34,23,43,37,25,32,61,6,2,19,0.489361702,0.544303797,0.544117647,0.316455696,0.4,0.54954955,0.5,0.666666667,0.558823529
ALZVG5501Y5IX,49,68,65,71,71,131,13,2,32,31,47,41,51,50,107,8,1,22,0.632653061,0.691176471,0.630769231,0.718309859,0.704225352,0.816793893,0.615384615,0.5,0.6875
A22IIMLQ7K4B3M,36,66,46,73,60,101,15,2,29,12,36,19,32,30,52,3,0,16,0.333333333,0.545454545,0.413043478,0.438356164,0.5,0.514851485,0.2,0,0.551724138
AXAY0M3ATGPAR,21,29,25,38,30,41,11,0,18,5,10,5,9,9,12,3,0,6,0.238095238,0.344827586,0.2,0.236842105,0.3,0.292682927,0.272727273,0,0.333333333
AOL04T29G35P4,12,23,15,20,24,43,4,0,9,8,15,5,9,14,23,3,0,4,0.666666667,0.652173913,0.333333333,0.45,0.583333333,0.534883721,0.75,0,0.444444444
AVSLRTQLC2XK4,34,53,44,58,54,76,12,1,25,11,23,13,16,14,30,5,0,10,0.323529412,0.433962264,0.295454545,0.275862069,0.259259259,0.394736842,0.416666667,0,0.4
A2I3FCE7LMITQS,16,31,24,35,27,49,12,0,16,12,26,21,31,21,34,8,0,12,0.75,0.838709677,0.875,0.885714286,0.777777778,0.693877551,0.666666667,0,0.75
A3S2R1NK6HZ9KP,22,35,30,47,34,59,10,0,17,6,18,9,14,11,34,3,0,7,0.272727273,0.514285714,0.3,0.29787234,0.323529412,0.576271186,0.3,0,0.411764706
A28H539AZAIDDV,42,94,65,84,76,127,18,2,43,20,50,30,38,33,71,10,1,20,0.476190476,0.531914894,0.461538462,0.452380952,0.434210526,0.559055118,0.555555556,0.5,0.465116279
A2SFD01V5SDFTA,28,58,47,53,34,79,11,2,18,7,21,14,12,15,36,4,0,6,0.25,0.362068966,0.29787234,0.226415094,0.441176471,0.455696203,0.363636364,0,0.333333333
A3A98RH6TI83T8,24,32,33,43,37,60,11,0,21,15,21,20,19,22,41,8,0,13,0.625,0.65625,0.606060606,0.441860465,0.594594595,0.683333333,0.727272727,0,0.619047619
ALH1K6ZAQQMN7,25,33,26,39,38,52,8,1,21,14,27,18,32,30,44,7,1,18,0.56,0.818181818,0.692307692,0.820512821,0.789473684,0.846153846,0.875,1,0.857142857
A1N8TKTLXV92QR,11,23,16,33,20,42,7,1,16,8,17,11,25,16,31,6,1,14,0.727272727,0.739130435,0.6875,0.757575758,0.8,0.738095238,0.857142857,1,0.875
A28C4YC9WPNYG2,33,47,37,54,52,67,10,1,30,22,34,30,44,40,59,8,1,22,0.666666667,0.723404255,0.810810811,0.814814815,0.769230769,0.880597015,0.8,1,0.733333333
A3KW8RIWBQ1O7F,16,28,15,33,31,57,8,0,12,8,16,7,13,21,40,5,0,9,0.5,0.571428571,0.466666667,0.393939394,0.677419355,0.701754386,0.625,0,0.75
A2CYF2YSAXGB3G,25,39,28,40,39,58,12,1,23,7,15,9,14,14,28,4,0,10,0.28,0.384615385,0.321428571,0.35,0.358974359,0.482758621,0.333333333,0,0.434782609
AJXGDCVHN4V6D,16,45,37,44,33,62,8,0,11,8,27,19,18,17,34,5,0,8,0.5,0.6,0.513513514,0.409090909,0.515151515,0.548387097,0.625,0,0.727272727
A23LLMPC8OX3DD,30,41,33,44,48,67,12,2,26,20,33,24,39,40,62,11,1,20,0.666666667,0.804878049,0.727272727,0.886363636,0.833333333,0.925373134,0.916666667,0.5,0.769230769
"Luis:A2YH9MQZQY449I",28,49,43,58,43,81,10,1,25,9,24,13,24,18,38,5,1,14,0.321428571,0.489795918,0.302325581,0.413793103,0.418604651,0.469135802,0.5,1,0.56
A27LCUA35LPVM8,31,62,42,64,50,87,11,2,29,8,19,8,20,14,27,2,0,12,0.258064516,0.306451613,0.19047619,0.3125,0.28,0.310344828,0.181818182,0,0.413793103
